address,lat,long,arcgis_address,score,location.x,location.y,extent.xmin,extent.ymin,extent.xmax,extent.ymax
"207 W 5th St, Wakefield, NE, 68784-5082",42.2667939971512,-96.8675040345953,"207 W 5th St, Wakefield, Nebraska, 68784",100,-96.86750403459533,42.26679399715121,-96.86850403459533,42.265793997151214,-96.86650403459532,42.26779399715121
"2454 Lafayette Rd Ste 21, Portsmouth, NH, 03801-5619",43.035068010462,-70.784162967831,"2454 Lafayette Rd, Ste 21, Portsmouth, New Hampshire, 03801",100,-70.78416296783097,43.03506801046203,-70.78516296783097,43.03406801046203,-70.78316296783096,43.036068010462024
"4 Robinson Rd, Bow, NH, 03304-3601",43.1463790140796,-71.4958609787262,"4 Robinson Rd, Bow, New Hampshire, 03304",100,-71.49586097872623,43.14637901407963,-71.49686097872623,43.14537901407963,-71.49486097872622,43.147379014079625
"87 Lafayette Rd Ste 3, Hampton Falls, NH, 03844-2300",42.9158359826151,-70.8634970108343,"87 Lafayette Rd, Ste 3, Hampton Falls, New Hampshire, 03844",100,-70.86349701083428,42.91583598261505,-70.86449701083428,42.91483598261505,-70.86249701083428,42.91683598261505
"23 MAMMOTH RD, WINDHAM, NH, 03087-1773",42.7995120141653,-71.3514060021152,"23 Mammoth Rd, Windham, New Hampshire, 03087",100,-71.35140600211518,42.79951201416529,-71.35240600211519,42.79851201416529,-71.35040600211518,42.800512014165285
"6 Mary E Clark Dr Ste 11, Hampstead, NH, 03841-2288",42.8618530057659,-71.1766230367015,"6 Mary E Clark Dr, Ste 11, Hampstead, New Hampshire, 03841",100,-71.17662303670153,42.86185300576588,-71.17762303670153,42.86085300576588,-71.17562303670152,42.86285300576588
"890 Lafayatte Road, Seabrook, NH, 03874",42.9018060178039,-70.8686409848131,"890 Lafayette Rd, Seabrook, New Hampshire, 03874",97.88,-70.86864098481306,42.901806017803864,-70.86964098481306,42.900806017803866,-70.86764098481305,42.90280601780386
"382 Suncook Valley Hwy, Epsom, NH, 03234-4243",43.198771985806,-71.3847870153304,"382 Suncook Valley Hwy, Epsom, New Hampshire, 03234",100,-71.38478701533042,43.19877198580596,-71.38578701533042,43.197771985805964,-71.38378701533041,43.19977198580596
"25 SOUTH MAIN ST, HANOVER, NH, 03755-2048",43.7018252971041,-72.2894424564862,"25 S Main St, Hanover, New Hampshire, 03755",100,-72.28944245648617,43.70182529710412,-72.29044245648618,43.700825297104124,-72.28844245648617,43.70282529710412
"118 Main St, Newmarket, NH, 03857-1622",43.0789599344925,-70.9363960275683,"118 Main St, Newmarket, New Hampshire, 03857",100,-70.93639602756826,43.07895993449253,-70.93739602756827,43.07795993449253,-70.93539602756826,43.07995993449253
"151 Congress Street, Portsmouth, NH, 03801",43.0760270185191,-70.760651980881,"151 Congress St, Portsmouth, New Hampshire, 03801",100,-70.76065198088095,43.07602701851914,-70.76165198088096,43.075027018519144,-70.75965198088095,43.07702701851914
"1 Eagle Sq, Concord, NH, 03301-4903",43.2071769811246,-71.5361070220992,"1 Eagle Sq, Concord, New Hampshire, 03301",100,-71.53610702209924,43.20717698112463,-71.53710702209925,43.206176981124635,-71.53510702209924,43.20817698112463
"126 Main Street, MARLBOROUGH, NH, 03455-2126",42.9068407221234,-72.2110902290402,"126 Main St, Marlborough, New Hampshire, 03455",100,-72.21109022904021,42.90684072212341,-72.21209022904021,42.905840722123415,-72.2100902290402,42.90784072212341
"14 PROCTOR HILL ROAD, HOLLIS, NH, 03049-6428",42.7419819835303,-71.5936570016638,"14 Proctor Hill Rd, Hollis, New Hampshire, 03049",100,-71.59365700166377,42.74198198353034,-71.59465700166378,42.74098198353034,-71.59265700166377,42.742981983530335
"41 Observatory Way, Intervale, NH, 03845",44.0992606641814,-71.1581215714407,"Observatory Way, Bartlett, New Hampshire, 03812",94.05,-71.1581215714407,44.09926066418141,-71.1591215714407,44.09826066418141,-71.1571215714407,44.100260664181405
